usda_symbol,scientific_name,common_name,state
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
ABCO,Abies concolor,,CA South
ABMA,Abies magnifica,,CA South
ABVI,Abronia villosa,,CA South
ACHY,Achnatherum hymenoides,,CA South
ACMA3,Acer macrophyllum,,CA South
ADFA,Adenostoma fasciculatum,,CA South
ADSP,Adenostoma sparsifolium,,CA South
AECA,Aesculus californica,,CA South
AMAL2,Amelanchier alnifolia,,CA South
AMFR,Amorpha fruticosa,,CA South
